@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
5.708,9.817,2.238,n
3.990,7.042,1.622,n
4.242,4.000,4.848,n
1.173,2.406,1.520,p
1.562,4.995,9.084,p
8.950,0.535,3.488,n
1.572,9.553,1.231,p
0.603,5.553,1.851,p
1.024,0.669,7.580,p
0.558,0.402,1.705,p
6.403,8.119,7.277,n
8.260,2.728,9.479,n
7.387,6.958,8.027,p
9.330,9.538,6.446,n
6.347,2.726,2.691,n
4.564,1.511,1.758,p
7.710,6.631,4.102,n
8.664,6.062,6.857,n
1.708,5.565,5.796,p
8.585,8.911,8.506,n
0.486,0.006,9.136,p
3.097,9.644,7.755,n
3.822,1.048,7.883,p
7.083,2.539,7.181,n
7.632,3.984,6.672,n
2.348,4.387,8.455,p
2.003,6.394,5.173,n
3.033,3.572,1.855,p
1.925,1.991,5.963,p
1.850,7.670,7.024,n
2.418,2.699,1.920,p
5.228,1.874,8.048,p
2.536,7.513,5.441,n
1.128,1.996,5.690,p
1.863,2.532,7.461,p
3.844,3.561,0.298,p
2.815,7.292,4.543,n
9.354,7.752,7.230,n
0.935,2.215,6.314,p
8.011,6.740,2.498,n
9.806,3.281,5.206,n
0.482,2.618,3.938,p
7.642,4.381,7.721,n
3.972,1.547,1.219,p
2.775,2.265,8.172,n
6.348,1.421,3.288,p
0.756,5.628,5.720,p
3.616,5.607,0.117,n
6.350,0.543,2.824,p
6.964,5.557,7.688,p
0.425,2.720,2.551,p
5.933,0.272,2.862,p
7.519,4.430,0.075,n
2.142,2.021,7.710,p
1.255,6.355,8.386,p
5.289,3.548,2.613,n
2.948,1.179,9.702,n
9.679,6.659,5.478,n
3.640,1.440,0.192,p
1.474,0.494,2.633,p
6.081,0.687,3.622,p
1.376,0.635,6.793,p
1.616,2.120,8.505,p
5.928,8.953,3.024,n
1.042,0.046,1.972,p
1.392,2.271,2.333,p
7.278,6.771,5.479,n
8.725,4.077,8.917,n
7.514,5.298,8.132,n
5.429,1.342,6.652,p
6.539,0.763,3.821,p
1.591,0.346,2.806,p
9.722,8.249,4.370,n
7.530,2.930,1.753,n
9.456,6.815,6.277,n
8.887,2.613,6.588,n
0.074,4.772,7.140,n
7.890,1.991,9.599,n
1.161,3.495,3.688,p
6.104,0.578,5.022,n
6.365,6.571,9.506,n
6.777,1.228,9.378,n
4.087,8.173,9.248,n
5.542,9.954,9.971,n
9.045,1.515,1.915,n
2.784,0.281,2.632,p
5.794,3.403,9.175,n
4.104,6.014,7.663,n
7.500,0.060,0.812,p
2.873,4.299,6.599,p
5.341,5.095,2.691,n
6.699,1.509,3.463,n
8.039,9.126,6.795,n
1.839,2.288,5.002,p
0.683,6.283,1.495,p
7.547,0.272,1.711,p
4.198,9.482,3.285,n
9.995,1.319,6.488,n
4.799,4.262,8.831,n
5.307,2.255,2.786,p
2.913,1.988,9.301,p
1.480,1.355,0.146,p
3.395,9.659,0.900,n
2.592,4.816,2.079,p
4.322,2.386,7.964,p
5.209,2.189,4.616,p
6.261,7.848,1.224,n
2.658,1.861,5.842,p
1.753,2.186,3.481,n
1.062,5.607,7.752,p
1.168,6.669,9.241,p
5.275,7.586,6.498,n
1.647,1.006,5.075,p
1.310,4.761,8.648,p
2.674,3.410,4.254,p
4.298,2.772,6.411,p
0.408,3.074,0.711,p
3.317,8.275,1.665,n
8.197,8.928,3.369,n
0.020,8.767,0.508,n
7.461,4.823,1.700,p
6.764,3.247,9.691,n
7.090,8.246,3.912,n
0.993,7.097,2.374,n
4.052,8.352,3.970,n
2.509,5.012,3.537,p
2.138,0.469,2.069,p
3.382,9.701,3.744,n
0.255,1.918,0.604,p
8.054,9.611,0.152,p
3.992,5.873,6.343,n
9.039,5.732,5.523,n
4.486,7.696,5.522,n
8.969,1.961,4.806,n
0.519,9.514,8.124,n
3.548,3.638,9.525,p
3.039,7.810,9.532,n
7.415,6.180,7.845,n
2.485,5.871,8.200,n
1.102,6.485,4.183,p
6.454,8.457,6.574,n
2.000,6.610,8.447,n
7.973,2.055,4.614,n
4.476,3.440,0.335,n
7.764,5.435,3.028,n
5.582,5.780,0.931,n
4.374,8.143,0.586,n
0.093,9.839,6.775,n
9.061,3.124,5.680,n
2.748,4.144,3.952,p
7.399,7.668,0.585,n
2.952,7.133,3.457,n
9.712,8.975,7.173,p
0.841,2.722,3.280,p
0.927,1.997,5.757,p
5.994,6.160,1.036,n
5.551,6.998,5.490,n
2.893,9.064,1.871,n
5.477,5.166,1.088,n
4.423,2.368,9.885,p
4.733,3.721,2.913,n
8.102,0.825,6.289,n
1.373,3.897,3.794,p
3.156,1.125,5.536,n
1.976,5.783,7.410,p
6.623,1.149,9.257,p
0.904,5.726,6.942,p
7.801,0.950,2.985,n
4.029,6.318,6.089,n
2.394,3.741,7.976,p
6.498,7.535,6.512,n
1.528,9.935,9.588,n
6.004,0.128,6.206,p
0.413,5.553,1.092,p
2.210,1.619,1.130,p
2.298,7.824,7.426,n
8.478,6.370,5.672,n
4.411,2.614,1.215,p
8.264,8.130,3.736,n
0.289,9.502,3.442,p
2.647,3.860,1.631,p
7.231,0.594,9.278,p
1.353,9.297,8.112,n
2.560,8.699,7.962,n
7.548,8.898,7.689,n
3.446,2.314,9.587,p
1.761,4.981,9.142,p
8.844,6.908,5.191,n
2.589,9.409,5.819,n
0.783,4.132,3.318,p
5.707,7.453,8.454,n
5.430,1.702,1.280,p
1.939,7.737,8.079,n
8.327,8.512,4.800,n
1.703,2.709,3.150,n
2.091,8.469,9.317,n
1.488,5.573,8.410,p
6.996,7.512,8.545,n
1.165,5.387,5.758,p
7.904,6.742,3.380,n
2.375,6.298,1.967,n
0.228,6.137,4.024,p
8.676,4.606,4.692,n
6.313,7.233,4.356,n
8.261,5.088,1.537,n
3.313,9.767,9.646,n
5.364,1.761,2.451,n
9.591,3.307,4.287,n
0.036,6.004,4.700,p
3.437,2.186,5.596,p
0.805,3.851,8.822,n
6.739,0.623,2.594,p
0.917,3.726,0.009,p
1.310,4.498,6.351,p
2.899,8.067,6.625,n
0.340,0.499,1.805,p
0.842,7.153,8.248,p
1.153,1.284,0.591,p
6.342,3.838,1.292,n
9.671,2.187,9.040,n
3.857,0.867,9.046,p
6.354,5.776,0.160,n
2.709,9.246,4.432,n
6.767,8.070,0.237,p
0.145,6.798,8.659,p
1.438,0.962,2.110,p
5.162,6.150,1.950,n
3.727,7.012,6.750,n
8.711,3.166,7.930,n
2.367,2.946,7.431,p
3.044,0.249,1.337,p
4.713,2.077,4.115,p
1.400,2.531,1.105,p
8.425,3.069,7.961,n
6.407,0.565,8.238,p
2.111,1.492,9.123,p
7.036,6.596,4.401,n
1.304,8.829,3.417,n
0.069,4.329,8.367,p
3.431,7.551,4.538,n
0.399,4.881,9.418,p
1.848,1.895,9.698,p
2.985,4.749,7.730,p
4.295,0.904,9.624,p
3.941,3.521,8.879,p
3.543,3.757,7.542,p
9.572,3.716,4.275,n
8.776,0.470,2.382,p
5.091,0.206,9.578,p
8.608,1.410,9.528,p
9.252,8.884,2.219,n
9.989,0.292,8.045,n
7.482,7.804,2.378,n
7.190,5.356,4.370,n
1.886,0.449,9.093,p
6.694,5.662,3.976,n
7.207,2.761,1.406,n
4.391,9.369,1.579,n
5.784,6.691,6.030,n
0.289,4.034,2.491,p
3.619,1.356,2.104,p
9.875,3.093,9.577,n
5.797,9.376,7.852,n
1.983,4.586,5.044,p
1.480,8.917,4.180,p
2.022,4.629,0.207,p
0.674,6.927,2.315,p
7.348,9.293,4.762,n
2.810,2.464,4.027,p
9.544,7.366,0.009,n
3.800,5.387,4.066,n
3.787,1.940,5.826,p
0.211,1.032,4.183,p
6.748,2.895,7.631,n
1.373,0.574,5.149,p
8.736,7.868,7.554,n
5.811,0.589,8.231,n
0.029,5.656,1.834,n
6.540,1.163,9.343,p
4.865,7.594,6.436,n
1.218,7.783,4.613,n
2.195,4.438,8.644,p
6.589,0.197,9.726,p
1.062,0.307,1.152,p
4.386,3.430,5.417,p
8.675,1.156,3.993,n
0.705,2.736,0.152,p
4.681,1.076,8.356,p
1.450,4.590,6.517,p
2.097,5.970,6.124,n
4.852,5.073,3.106,n
6.256,1.525,3.964,p
1.201,0.949,1.393,p
3.851,3.744,6.464,p
5.393,1.933,5.285,p
9.198,4.384,4.056,n
6.659,4.616,4.650,p
4.083,6.746,8.553,n
4.257,0.214,3.581,p
3.151,4.431,5.127,p
8.250,7.530,5.738,n
6.679,1.453,4.741,n
4.258,9.676,3.370,n
8.380,6.613,0.593,n
1.833,0.663,2.584,p
0.690,0.342,6.081,n
7.841,0.521,7.234,n
7.104,0.579,4.067,p
6.090,3.503,0.209,p
2.440,1.862,8.599,p
3.205,1.911,0.583,p
3.799,0.424,3.798,n
1.839,9.625,7.815,n
1.166,4.409,6.103,p
9.672,4.717,3.058,p
0.579,4.296,5.542,p
2.808,4.199,1.931,n
0.659,7.035,7.358,n
2.462,1.499,4.511,p
3.554,2.445,7.023,p
1.522,0.824,3.091,p
6.698,5.498,8.325,n
8.926,0.604,7.336,n
2.851,3.541,5.986,p
1.579,2.533,3.659,p
2.223,0.137,7.277,p
4.579,6.428,8.708,n
1.247,4.990,1.157,p
8.720,0.196,7.825,n
9.017,1.114,6.616,n
6.607,0.964,1.355,p
6.675,7.158,6.055,n
2.360,3.840,1.611,p
6.924,5.618,7.002,n
6.261,2.121,2.733,n
4.925,3.250,9.822,p
6.129,3.494,6.729,n
8.088,8.103,1.297,n
9.742,8.852,1.463,n
6.201,3.287,1.770,n
2.322,5.483,7.333,p
1.085,1.016,9.817,p
1.709,2.394,2.134,p
5.236,1.870,5.766,p
0.781,5.925,0.148,p
6.358,0.837,0.523,p
5.625,0.082,3.738,p
9.169,1.403,3.129,n
1.752,8.602,2.205,n
9.055,9.698,6.007,n
3.201,8.665,6.035,n
8.558,8.179,3.913,p
9.250,9.696,2.608,n
9.417,1.606,8.862,n
8.841,1.252,7.171,n
0.772,0.488,3.657,p
0.453,1.607,8.238,p
5.807,0.466,4.587,p
4.890,1.465,5.820,p
4.319,2.810,9.675,p
9.033,6.748,3.329,n
2.158,8.918,9.472,n
5.316,5.843,5.052,n
3.562,0.951,2.168,p
4.067,1.560,0.245,p
8.393,9.856,2.946,n
6.480,6.452,0.965,n
7.436,2.199,0.763,n
5.317,4.638,9.736,n
0.572,3.985,4.541,p
0.276,7.087,5.059,p
4.943,4.405,8.416,n
0.926,2.546,3.554,p
0.676,6.216,1.268,p
0.159,1.216,1.219,p
6.170,7.290,9.068,n
0.633,5.012,0.265,p
0.908,3.845,4.030,p
5.693,0.570,2.543,p
2.855,5.694,6.647,n
6.214,0.588,8.552,p
4.785,0.580,8.636,p
4.938,5.896,8.368,n
7.566,9.256,4.467,p
7.129,7.744,3.773,p
1.810,0.393,8.584,p
6.686,1.016,7.828,p
9.690,3.731,1.400,n
4.164,5.952,4.173,n
5.217,1.311,8.572,p
4.763,2.836,6.001,p
4.928,1.728,0.918,p
1.577,4.068,4.015,p
9.922,9.047,5.942,n
4.385,2.133,5.730,p
0.944,6.890,4.288,p
4.138,5.672,0.439,p
3.924,0.814,6.325,p
0.189,3.272,4.225,p
6.517,7.962,2.066,n
5.213,8.754,1.474,n
1.248,1.389,4.853,p
4.498,3.704,2.360,n
1.078,2.224,2.752,p
0.732,6.374,8.440,p
3.213,3.563,7.554,p
9.987,4.562,7.169,n
3.883,9.923,5.764,n
3.955,0.359,3.454,p
7.693,4.473,8.516,n
7.612,6.183,2.305,n
2.182,3.123,2.373,p
0.755,3.968,7.658,p
0.756,7.071,5.407,p
8.232,5.074,7.353,n
9.744,5.583,5.697,n
0.501,5.232,0.555,p
0.045,7.449,6.160,p
0.936,0.364,3.204,p
8.490,9.972,4.996,n
0.807,6.851,1.694,p
2.212,5.212,8.849,p
2.889,6.815,3.014,n
0.421,5.529,0.934,p
4.318,2.589,8.792,p
3.692,3.032,1.753,p
0.215,3.454,3.511,p
3.942,6.009,0.752,n
9.909,1.560,6.353,n
5.504,6.208,9.198,n
1.213,0.766,1.852,p
9.846,5.506,8.430,n
2.246,5.331,2.356,p
1.288,2.888,6.659,p
2.708,4.130,8.305,p
1.633,1.201,4.070,p
0.166,6.011,5.033,p
0.586,1.235,0.140,p
2.358,3.244,8.100,p
3.164,9.013,5.539,n
6.340,5.140,1.947,n
3.131,1.003,3.242,p
0.517,6.800,6.993,p
1.340,6.007,1.256,p
4.375,4.072,3.101,n
3.297,5.288,5.920,n
0.256,3.274,6.903,n
9.409,3.725,3.169,n
8.468,6.457,8.935,n
6.545,6.834,0.122,n
9.481,3.480,0.546,n
0.076,2.713,3.629,p
3.067,3.460,4.357,n
5.646,9.826,6.112,n
9.892,1.534,2.656,n
5.676,3.260,1.478,n
5.356,2.429,3.085,p
7.278,3.612,9.320,n
9.439,9.251,0.218,n
3.632,2.647,9.018,p
1.217,1.550,2.675,p
1.327,5.340,1.608,p
8.035,1.417,9.082,n
4.828,1.584,4.596,p
1.732,4.113,0.841,p
3.798,0.435,2.500,p
6.084,5.537,3.789,n
2.348,3.660,0.329,p
0.672,0.342,6.078,p
1.633,4.386,6.886,p
4.760,5.214,0.090,p
6.601,1.310,9.011,p
1.537,0.760,2.214,p
4.856,2.850,3.344,p
7.666,3.580,3.648,n
0.491,3.755,0.842,p
3.657,8.352,7.251,p
0.476,8.263,2.002,n
1.515,0.128,5.825,p
7.880,0.027,7.993,p
1.379,5.438,9.187,p
0.391,6.936,3.819,p
5.276,6.944,3.131,n
1.372,1.225,0.014,p
8.720,2.158,9.602,n
1.829,3.243,2.252,p
0.218,5.902,5.633,p
3.796,1.268,9.162,n
1.906,7.333,8.220,n
7.832,4.678,2.864,n
9.485,7.623,3.438,n
1.416,8.606,6.688,n
9.714,8.165,6.440,n
9.103,6.054,1.672,n
9.018,6.752,6.588,n
0.470,0.131,8.669,p
1.731,6.506,8.233,n
4.098,8.003,0.212,n
1.603,6.371,2.869,p
0.356,5.932,0.023,p
7.786,3.048,9.331,n
1.604,5.555,2.263,p
4.857,8.865,0.263,n
5.275,1.199,8.040,p
3.017,0.938,2.881,p
3.362,1.375,3.697,p
3.197,9.945,0.144,p
6.590,6.310,2.465,n
3.819,2.829,9.857,p
5.972,6.404,8.522,n
1.152,3.432,4.103,p
1.425,7.904,9.588,n
2.275,9.444,1.355,n
6.931,3.866,1.680,n
0.701,3.958,8.961,p
1.051,5.739,0.639,p
2.853,3.860,7.072,p
9.672,8.244,9.298,n
0.683,3.943,6.907,p
1.732,2.527,8.170,p
8.091,7.614,5.601,n
4.543,6.887,8.884,n
5.380,9.804,6.519,n
3.721,3.704,9.094,n
0.171,2.518,0.276,p
4.609,4.684,5.519,n
0.193,2.882,8.554,p
1.840,6.742,1.873,n
3.255,8.004,6.097,n
8.004,9.328,7.271,p
4.862,4.108,7.036,n
8.910,6.315,7.726,p
4.154,8.565,4.839,n
3.899,0.866,2.431,p
5.589,7.835,0.527,p
4.608,8.142,6.540,n
0.626,3.687,9.975,p
2.425,0.117,5.387,p
7.346,2.196,2.939,n
5.297,4.565,5.986,n
4.108,3.969,4.357,n
7.532,7.543,4.542,n
4.917,5.499,6.963,n
7.435,2.646,9.420,n
6.766,1.712,2.230,p
6.488,4.350,5.713,n
2.740,9.510,5.740,p
0.544,6.308,1.976,n
6.729,0.888,6.203,p
3.442,4.269,8.538,p
8.675,8.892,5.858,n
9.725,9.070,6.367,n
1.309,9.944,9.600,n
2.726,6.417,6.496,n
5.932,5.261,0.916,n
8.980,0.960,9.255,p
4.920,9.925,5.352,n
5.805,0.984,6.269,p
6.112,8.967,7.214,n
6.182,5.710,0.691,n
1.680,9.664,8.976,n
9.711,3.846,9.417,n
5.671,8.398,9.579,n
9.558,7.772,2.152,n
2.034,5.517,2.897,n
9.038,6.452,1.429,p
3.220,7.406,8.319,n
7.294,6.220,9.412,n
3.136,9.549,3.099,n
3.607,3.724,0.893,p
0.096,2.606,3.666,n
4.687,8.176,9.289,n
0.414,3.668,2.039,p
0.636,2.904,9.824,n
2.462,8.628,2.316,n
6.822,6.341,1.745,n
0.928,0.945,1.822,p
5.598,8.478,5.722,n
7.132,6.080,8.300,n
8.857,8.377,4.042,n
4.216,9.003,6.945,n
0.938,6.140,0.806,p
7.941,4.361,1.204,n
8.798,1.666,8.633,n
8.257,0.211,2.750,n
8.490,9.901,8.844,n
8.466,6.834,0.416,n
2.614,2.782,8.711,p
2.784,3.054,2.637,p
7.624,0.857,1.421,n
2.060,1.558,5.019,p
2.595,1.340,2.693,n
7.113,1.087,1.874,p
0.126,7.726,3.025,p
5.427,5.071,9.824,n
4.611,4.910,3.826,n
9.102,0.458,1.534,n
7.307,6.232,3.218,p
0.619,4.449,3.665,p
4.372,8.728,5.725,n
1.899,9.218,4.716,n
2.312,5.630,5.567,p
4.728,1.546,5.997,p
1.616,2.034,3.511,p
1.545,4.208,7.371,p
4.240,0.232,4.416,p
1.945,9.517,4.318,n
1.730,2.627,8.378,p
6.191,7.784,4.945,n
6.062,0.084,5.105,n
8.667,1.407,6.989,n
1.741,5.188,6.859,p
9.452,2.764,2.324,n
2.087,0.453,3.132,p
0.067,2.245,1.341,p
5.250,5.340,0.664,n
4.365,0.136,6.189,p
8.553,3.631,7.590,n
7.015,6.298,7.006,n
9.248,4.863,5.052,n
3.744,9.216,6.376,n
1.311,2.026,1.292,p
2.663,0.773,9.541,p
3.522,1.865,0.898,p
6.758,7.255,8.347,n
0.598,4.318,6.046,n
7.271,0.500,8.362,p
5.153,9.342,7.014,n
0.555,4.402,9.720,p
7.831,3.376,6.828,n
1.354,8.319,6.509,n
2.565,4.022,6.557,p
6.512,1.678,2.978,p
3.672,0.331,9.495,p
7.383,9.102,6.459,n
8.531,1.535,1.020,n
3.589,1.246,6.380,p
0.058,3.904,3.919,p
8.188,8.739,2.652,n
6.609,7.157,4.171,n
1.845,2.891,3.998,p
5.144,7.566,5.033,n
5.056,9.524,3.282,n
1.907,9.700,3.750,n
2.922,0.875,4.477,p
7.453,0.217,1.845,p
0.182,7.380,8.070,p
2.036,3.063,7.549,p
4.193,5.893,1.691,n
0.843,4.919,7.415,n
4.469,5.589,0.798,n
8.586,3.961,6.990,n
0.734,6.568,6.463,p
2.549,1.514,5.418,p
1.345,4.468,1.257,p
3.145,0.951,6.061,p
0.523,0.526,6.694,p
9.039,2.816,2.938,n
3.544,1.107,8.969,p
9.985,1.840,7.430,n
2.129,5.546,8.525,p
3.829,0.515,6.045,p
0.714,5.967,0.086,p
3.068,7.223,2.396,n
3.840,7.443,0.884,n
8.692,6.504,8.043,n
5.126,3.183,6.417,n
1.936,3.728,7.488,p
2.147,2.860,1.955,p
1.404,4.783,5.596,p
1.333,4.437,3.159,p
5.948,0.523,9.143,p
1.698,2.846,6.284,p
1.758,8.109,8.992,n
2.553,3.220,7.435,p
1.338,4.036,8.268,p
3.723,7.799,5.049,n
0.324,2.191,9.285,p
9.361,7.001,8.467,n
7.617,6.703,7.883,n
3.981,5.034,3.932,n
3.776,5.807,8.873,n
5.010,9.360,2.644,n
6.250,7.703,6.630,n
9.365,1.816,4.392,p
5.239,0.452,1.690,p
2.634,1.321,9.756,p
3.070,0.015,4.434,n
3.785,7.570,5.589,n
5.676,4.206,7.383,n
9.242,3.170,7.588,n
3.278,1.544,9.734,p
5.748,2.193,8.504,p
2.956,8.643,6.682,n
6.074,3.847,1.459,n
4.078,3.671,2.877,p
4.538,2.412,4.591,p
0.449,8.531,0.846,n
8.620,6.054,3.781,n
0.777,0.711,4.111,p
1.415,7.143,8.458,n
1.231,1.438,9.240,p
7.940,6.580,7.157,n
5.230,4.115,0.540,n
8.105,2.915,9.475,n
2.811,4.930,8.739,p
4.619,5.736,7.919,n
4.359,9.789,8.519,n
5.068,0.920,4.959,p
5.675,0.789,8.527,p
8.012,9.849,1.491,n
1.534,1.747,9.602,p
1.807,6.773,3.567,n
8.604,5.259,6.974,n
5.473,1.630,5.598,p
9.341,6.563,2.729,n
6.406,9.695,2.134,n
0.889,6.092,2.659,p
1.167,3.759,0.998,p
9.470,5.605,2.863,n
0.896,9.503,2.646,n
7.942,8.439,2.100,n
1.553,5.760,0.253,p
8.317,1.049,5.120,n
3.592,1.971,8.789,p
7.862,5.150,1.264,n
1.855,3.654,5.477,p
6.614,0.568,8.184,p
0.222,5.242,6.105,n
5.683,2.094,3.006,p
9.856,7.852,4.631,n
1.303,7.795,8.429,p
3.123,3.909,6.508,p
9.906,2.884,1.263,n
6.419,0.342,3.231,p
8.394,4.687,1.807,n
3.253,1.099,9.228,n
2.651,4.945,7.588,p
6.786,7.296,3.530,n
1.184,8.858,3.822,n
4.180,8.200,3.966,n
7.859,3.892,6.510,n
3.868,0.942,7.854,p
6.556,5.035,5.580,n
5.773,8.633,0.715,n
1.609,6.108,4.531,p
6.690,5.521,8.830,n
4.849,1.311,3.914,p
0.721,8.262,8.169,n
8.579,6.317,4.305,n
5.513,8.901,1.692,n
1.784,4.707,0.222,p
2.392,9.762,5.546,n
1.293,6.145,4.508,p
4.877,6.354,0.068,p
5.645,4.273,9.079,n
8.292,9.017,5.031,p
5.559,6.348,6.259,p
4.059,5.112,0.764,n
5.488,4.950,3.964,p
0.375,3.361,5.091,p
9.457,0.790,2.742,n
3.261,7.914,4.389,n
5.156,4.222,4.117,n
5.159,2.641,1.388,p
2.685,1.513,2.116,p
7.808,0.702,4.074,n
0.451,0.279,1.134,n
1.400,5.643,0.904,p
0.241,5.611,1.341,p
7.558,0.481,7.728,n
3.684,1.344,4.575,p
5.937,6.132,1.753,n
2.193,5.246,9.480,n
2.588,1.895,7.638,p
1.392,4.816,4.932,p
7.554,4.859,3.387,n
4.922,2.537,6.055,p
1.005,1.906,5.729,p
7.335,6.443,7.748,p
9.121,9.070,0.947,n
1.225,0.551,4.233,p
8.863,3.631,7.747,n
4.598,3.693,8.325,n
4.122,1.025,4.320,p
0.689,6.169,7.468,p
5.827,8.821,0.145,n
6.188,9.955,3.315,n
8.414,6.983,7.943,n
7.280,2.381,6.440,n
6.223,1.895,5.321,n
0.004,4.358,5.011,p
1.525,5.023,4.516,p
5.226,1.427,5.852,p
0.970,8.752,3.182,n
5.816,4.346,9.187,n
3.235,8.597,2.118,n
7.891,2.985,6.142,n
4.611,1.445,6.469,p
1.352,1.028,6.221,p
3.741,0.003,2.225,p
0.280,6.329,8.062,p
2.319,1.501,1.454,p
6.793,0.982,8.397,p
0.358,2.997,1.930,p
4.067,2.392,4.994,p
8.824,0.901,6.896,n
3.598,3.148,4.083,p
2.810,1.180,4.540,p
3.482,4.400,2.300,p
0.341,3.064,9.103,p
9.805,7.705,3.664,n
2.237,9.882,4.528,n
8.967,2.659,5.579,n
1.002,5.307,9.240,p
2.712,0.224,5.254,p
5.181,5.390,3.267,n
4.849,0.918,0.109,p
0.635,2.489,0.638,p
5.875,7.083,5.790,n
2.675,0.485,7.084,p
0.386,7.899,5.127,n
7.568,7.223,5.960,n
2.445,0.503,7.909,p
0.020,0.642,8.480,n
6.512,6.497,9.148,n
9.802,4.532,3.448,p
2.911,2.666,8.142,p
6.095,1.299,1.057,p
4.097,3.876,5.158,p
6.445,3.287,5.756,n
4.253,4.797,4.989,n
0.014,8.940,5.981,n
1.491,5.337,3.225,p
5.744,9.911,7.088,n
0.726,5.305,1.215,p
7.328,3.662,3.523,n
5.971,3.834,4.176,n
2.161,0.145,4.976,p
0.303,4.421,7.803,p
0.784,2.580,9.647,n
4.953,2.001,8.622,p
4.940,3.764,2.927,n
7.066,8.243,3.875,n
6.522,0.549,3.649,p
5.168,0.417,9.031,p
3.270,3.147,3.266,p
0.594,6.242,3.037,p
8.136,1.093,1.119,n
5.032,7.848,6.557,n
2.559,5.647,3.964,n
0.449,1.081,5.577,p
1.975,4.862,6.100,p
7.430,8.556,5.527,n
8.949,6.526,9.112,n
5.081,6.704,2.155,n
8.136,8.167,6.661,n
3.886,5.671,3.427,n
0.242,0.799,9.364,p
4.962,2.754,2.715,p
4.297,1.522,4.971,p
8.139,9.114,1.701,n
1.606,4.258,6.312,p
8.183,6.568,2.360,n
2.526,0.956,6.052,p
8.747,9.448,3.976,n
8.194,5.729,2.073,n
0.616,2.723,7.191,p
5.341,2.653,7.149,p
4.718,7.715,6.147,n
0.955,6.203,9.535,n
3.600,4.061,3.531,p
9.703,8.879,2.056,n
3.908,9.357,2.291,n
8.064,0.567,1.797,n
6.840,7.077,6.356,n
5.323,5.989,5.182,p
4.981,6.260,6.859,n
2.323,3.295,1.293,p
8.242,4.043,8.680,n
1.407,0.366,3.348,p
6.399,8.420,1.288,n
1.001,0.799,6.366,p
7.242,4.248,8.340,p
9.860,3.472,4.777,n
9.820,4.495,7.260,n
1.218,7.603,2.847,n
3.901,7.313,4.545,n
3.116,7.003,6.405,n
4.547,8.595,3.995,n
0.869,6.021,7.067,p
7.517,0.138,8.697,p
4.561,8.295,8.363,n
2.283,9.687,8.115,n
2.867,8.385,9.113,n
5.995,0.567,3.198,p
2.219,8.378,8.119,n
2.010,4.745,4.780,p
1.888,5.473,8.725,p
8.220,5.323,6.761,n
0.286,5.740,5.514,n
1.848,2.168,2.063,p
0.058,7.822,1.736,p
4.981,9.863,3.145,n
0.837,3.477,8.250,p
2.253,0.171,8.382,p
2.720,4.958,8.362,p
1.420,3.960,2.822,p
5.858,8.619,1.088,n
3.670,1.478,8.526,p
2.072,6.156,1.849,n
1.659,5.140,7.514,p
3.886,1.743,9.188,p
1.725,1.247,2.737,p
1.635,3.293,9.694,p
9.721,1.215,0.073,n
4.018,6.125,3.617,n
2.945,8.256,6.094,n
3.178,0.774,1.654,p
3.690,0.122,6.332,n
1.643,4.651,8.436,p
8.646,4.918,8.920,n
5.445,0.069,1.686,p
4.520,5.453,7.343,n
7.394,5.873,9.134,n
3.834,5.094,5.975,p
2.807,3.760,9.622,p
0.429,6.459,9.685,p
1.880,4.988,8.959,p
2.163,1.584,2.360,p
5.376,2.041,6.811,p
4.501,5.202,0.819,n
4.236,8.414,0.981,n
5.768,0.353,0.466,p
2.018,1.203,6.104,p
2.647,3.658,2.662,p
2.283,2.189,2.738,p
2.029,5.488,2.962,p
0.826,8.558,5.819,n
6.555,1.772,4.221,n
6.675,5.418,1.378,n
9.421,3.337,2.375,n
8.665,1.438,7.854,n
2.701,2.461,3.763,p
9.712,7.448,4.132,n
7.746,1.409,6.340,n
0.903,2.760,2.188,p
9.477,3.736,2.207,n
5.060,0.898,4.522,p
5.983,3.187,9.762,n
3.867,0.643,4.176,p
3.044,8.351,5.227,n
1.909,9.274,9.001,n
4.654,7.719,2.226,n
0.749,6.982,9.683,p
8.858,7.035,9.514,n
6.487,8.045,0.725,n
5.240,0.346,7.904,p
9.093,4.996,7.278,n
4.580,0.309,4.561,p
1.531,1.449,7.808,p
2.013,1.800,7.176,p
1.519,3.994,5.378,p
0.279,4.950,5.611,p
1.371,5.631,5.847,n
0.765,4.528,8.247,p
2.696,3.396,2.271,p
3.219,3.848,2.901,p
1.659,2.472,9.609,p
1.167,9.821,5.917,n
0.303,7.449,7.691,p
6.659,9.183,3.966,n
4.275,5.277,4.810,n
1.118,1.270,5.594,p
7.748,6.154,1.371,n
5.488,2.174,3.140,p
2.456,1.838,2.774,p
8.036,1.895,0.025,n
3.826,5.147,5.196,n
0.754,4.467,8.252,p
9.559,2.047,9.736,n
4.690,9.311,1.669,n
5.589,2.867,0.088,n
6.537,5.939,8.178,n
6.337,8.020,6.491,n
3.855,9.060,4.813,n
2.144,3.261,4.852,p
5.614,9.520,8.890,p
0.378,0.653,8.336,p
5.614,2.174,8.614,p
3.478,1.829,0.373,p
1.598,7.131,1.648,n
1.164,0.196,4.535,p
1.235,2.207,6.491,p
6.807,0.001,9.277,p
4.799,1.576,2.460,p
3.356,0.785,7.262,p
